digit_class,spike_count,latency_us,mean_isi_us,max_isi_us,spike_density,on_ratio,spatial_width,spatial_height,bounding_area,active_pixels,spikes_per_pixel,center_of_mass_x,center_of_mass_y
9,4032,304030,75.42,3214,13.2618,0.5017,33,33,1089,425,9.49,16.24,17.19
1,2363,308710,130.7,4385,7.6544,0.5154,33,33,1089,332,7.12,17.07,17.18
8,4698,307432,65.45,2086,15.2814,0.4928,33,33,1089,449,10.46,16.14,17.86
6,4437,309202,69.7,2983,14.3498,0.4983,33,33,1089,478,9.28,16.68,16.53
8,7058,309519,43.86,3852,22.8031,0.4908,33,33,1089,584,12.09,17.25,17.36
0,5322,307577,57.8,2781,17.303,0.4908,33,33,1089,481,11.06,16.52,17.46
2,6271,309901,49.43,5746,20.2355,0.4919,33,33,1089,564,11.12,16.66,16.52
4,3764,308482,81.98,3600,12.2017,0.4928,33,32,1056,413,9.11,16.33,17.05
4,4352,309025,71.02,3003,14.083,0.5007,33,33,1089,460,9.46,17.13,17.35
8,5527,309971,56.09,2249,17.8307,0.4932,33,33,1089,485,11.4,17.09,16.3
3,5479,309311,56.46,2940,17.7136,0.4946,33,33,1089,508,10.79,16.09,17.21
5,3830,301137,78.65,4537,12.7185,0.5005,32,33,1056,422,9.08,16.37,17.33
0,6167,300730,48.77,5431,20.5068,0.4904,33,33,1089,555,11.11,17.14,17.63
3,5433,308117,56.72,3804,17.6329,0.4892,33,33,1089,538,10.1,16.84,18.56
6,5142,308824,60.07,3772,16.6503,0.4969,33,33,1089,511,10.06,16.38,17.21
5,3968,310468,78.26,5830,12.7807,0.4962,33,33,1089,396,10.02,16.45,16.72
0,6702,309924,46.25,3060,21.6247,0.4863,33,33,1089,572,11.72,16.73,17.15
8,5234,306336,58.54,4999,17.0858,0.4935,33,33,1089,473,11.07,16.48,17.91
1,2145,309696,144.45,6633,6.9261,0.5152,33,33,1089,326,6.58,17.53,17.03
9,3941,307171,77.96,5457,12.83,0.4996,33,33,1089,384,10.26,16.27,16.4
0,4393,305679,69.6,3494,14.3713,0.4901,33,33,1089,443,9.92,16.48,16.62
4,2447,307388,125.67,3761,7.9606,0.5018,33,33,1089,368,6.65,16.81,17.19
3,5055,304285,60.21,2848,16.6127,0.4965,33,33,1089,501,10.09,16.34,16.87
1,2203,305134,138.57,4305,7.2198,0.512,33,33,1089,331,6.66,17.41,17.06
2,5137,304115,59.21,2057,16.8916,0.4913,33,33,1089,488,10.53,16.88,16.59
3,3962,302426,76.35,2775,13.1007,0.4992,33,33,1089,415,9.55,15.99,16.85
8,5210,304710,58.5,2669,17.0982,0.491,32,33,1056,466,11.18,16.6,16.18
4,4773,309716,64.9,3272,15.4109,0.4944,32,33,1056,474,10.07,16.4,16.88
8,4417,301432,68.26,2318,14.6534,0.4911,33,33,1089,433,10.2,17.05,17.0
2,5488,302978,55.22,2453,18.1135,0.4947,33,33,1089,532,10.32,17.01,16.71
7,3029,304248,100.48,4377,9.9557,0.5008,33,33,1089,407,7.44,16.52,17.44
2,5354,303753,56.74,3053,17.6262,0.4985,33,33,1089,491,10.9,17.09,16.77
9,4146,307082,74.08,4023,13.5013,0.501,33,33,1089,421,9.85,16.56,17.33
2,5247,308015,58.71,7329,17.0349,0.494,33,32,1056,509,10.31,16.65,15.94
2,6149,303606,49.38,2597,20.2532,0.4926,33,33,1089,547,11.24,16.6,17.4
1,2104,302782,143.98,6560,6.9489,0.5114,33,33,1089,297,7.08,16.58,16.45
7,4548,304703,67.01,2362,14.926,0.5007,33,33,1089,474,9.59,15.82,17.58
6,4491,309232,68.87,4284,14.5231,0.4921,32,32,1024,398,11.28,17.18,16.85
0,5803,309257,53.3,2143,18.7643,0.4887,33,32,1056,546,10.63,16.79,16.67
1,1933,302180,156.41,8501,6.3968,0.5147,33,33,1089,296,6.53,17.16,16.87
8,4589,306035,66.7,3392,14.995,0.4888,33,33,1089,450,10.2,16.28,17.29
2,5424,309624,57.09,5112,17.518,0.4956,33,33,1089,530,10.23,16.55,17.39
9,3744,304257,81.29,3743,12.3054,0.4984,33,33,1089,403,9.29,16.06,17.41
6,4025,306421,76.15,3763,13.1355,0.4966,33,33,1089,412,9.77,16.95,16.21
2,4583,304620,66.48,2563,15.045,0.4944,33,33,1089,482,9.51,16.63,17.6
5,4983,306977,61.62,3063,16.2325,0.4929,33,33,1089,469,10.62,16.53,16.88
0,4823,302721,62.78,3069,15.9322,0.4966,33,33,1089,511,9.44,16.25,17.04
3,5271,298673,56.67,2713,17.6481,0.4935,33,33,1089,494,10.67,16.7,16.99
2,4698,309906,65.98,3276,15.1594,0.5002,33,33,1089,499,9.41,16.49,16.1
2,5354,308745,57.68,4898,17.3412,0.4974,33,33,1089,544,9.84,16.93,16.91
8,3845,304102,79.11,4167,12.6438,0.4947,33,33,1089,387,9.94,17.35,16.4
0,4836,305434,63.17,3052,15.8332,0.4944,33,33,1089,497,9.73,17.12,17.23
6,4584,301130,65.71,3733,15.2227,0.4954,32,33,1056,432,10.61,16.66,16.49
8,5322,304891,57.3,3474,17.4554,0.4912,33,33,1089,450,11.83,16.53,17.19
1,3393,306800,90.45,4021,11.0593,0.5057,33,33,1089,391,8.68,16.22,16.81
9,4807,311271,64.77,4511,15.4431,0.4918,33,33,1089,427,11.26,16.35,16.65
0,5528,311286,56.32,4912,17.7586,0.4919,33,33,1089,514,10.75,16.78,18.01
5,3839,309390,80.61,3606,12.4083,0.4967,33,32,1056,429,8.95,15.94,17.5
3,4255,307499,72.28,5029,13.8374,0.4996,33,33,1089,417,10.2,17.0,17.15
5,4531,305468,67.43,2700,14.833,0.4948,33,33,1089,453,10.0,16.64,18.17
2,4979,305685,61.41,2201,16.288,0.4931,33,33,1089,484,10.29,16.73,17.33
3,4025,303182,75.34,3202,13.2759,0.4932,33,33,1089,392,10.27,16.42,16.6
2,5302,301081,56.8,2548,17.6099,0.4923,33,33,1089,518,10.24,16.83,17.57
9,4877,304264,62.4,3859,16.0288,0.4905,33,32,1056,435,11.21,16.4,16.26
7,3189,305682,95.89,4762,10.4324,0.5008,33,33,1089,398,8.01,17.0,16.64
7,4339,306015,70.54,4247,14.179,0.4964,33,33,1089,448,9.69,16.39,16.94
7,3347,311396,93.07,3239,10.7484,0.5013,33,33,1089,399,8.39,16.16,17.37
9,2747,304454,110.87,3180,9.0227,0.5049,33,33,1089,363,7.57,16.46,16.68
1,2332,303417,130.17,4114,7.6858,0.5043,32,33,1056,299,7.8,17.33,16.46
3,3270,302467,92.53,6585,10.8111,0.496,33,32,1056,397,8.24,16.75,16.88
3,4570,311525,68.18,5609,14.6698,0.4965,32,33,1056,454,10.07,17.01,16.41
9,3802,308141,81.07,5667,12.3385,0.4976,32,33,1056,375,10.14,16.36,17.54
7,4073,303120,74.44,2907,13.4369,0.4979,33,33,1089,434,9.38,16.48,16.79
7,3465,309294,89.29,4994,11.2029,0.5022,33,33,1089,392,8.84,16.2,17.28
7,3036,306565,101.01,2961,9.9033,0.4993,33,33,1089,354,8.58,16.02,17.03
0,5839,306336,52.47,3459,19.0608,0.4907,33,33,1089,556,10.5,17.17,16.9
4,3908,299521,76.66,3491,13.0475,0.4949,33,33,1089,430,9.09,16.74,17.74
4,3271,308798,94.43,4431,10.5927,0.5038,33,33,1089,391,8.37,16.63,17.49
8,4640,309648,66.75,4515,14.9848,0.4948,32,33,1056,415,11.18,16.35,15.87
6,4686,310025,66.17,4004,15.1149,0.4936,33,33,1089,487,9.62,16.12,17.71
2,3794,300869,79.32,3271,12.6101,0.4979,32,33,1056,440,8.62,16.0,16.26
1,3229,306560,94.97,2605,10.533,0.5002,33,33,1089,392,8.24,16.34,17.65
7,4407,309469,70.24,2744,14.2405,0.499,33,33,1089,446,9.88,16.78,17.39
9,4209,310637,73.82,7360,13.5496,0.4961,33,33,1089,437,9.63,15.85,16.65
2,4510,302537,67.1,2550,14.9073,0.4947,33,33,1089,496,9.09,17.21,16.54
5,5401,302653,56.05,2445,17.8455,0.4953,33,33,1089,517,10.45,17.31,17.68
6,4180,300783,71.97,7101,13.8971,0.5012,33,33,1089,453,9.23,16.87,17.24
3,5340,310575,58.17,4460,17.1939,0.4919,33,33,1089,488,10.94,16.36,16.96
1,2802,304080,108.56,5917,9.2147,0.4968,32,33,1056,328,8.54,16.91,16.2
8,4488,303066,67.54,5129,14.8087,0.5011,33,33,1089,445,10.09,16.38,16.74
3,4051,301553,74.46,3040,13.4338,0.5028,33,33,1089,450,9.0,16.85,18.28
7,4139,304502,73.59,3339,13.5927,0.4994,33,33,1089,446,9.28,16.48,17.62
0,5709,307086,53.8,2908,18.5909,0.4948,33,33,1089,555,10.29,16.31,17.71
2,3600,306187,85.08,8944,11.7575,0.4986,33,33,1089,421,8.55,16.4,16.54
3,5213,301449,57.84,3063,17.2931,0.4943,33,33,1089,503,10.36,16.09,16.34
7,3804,309335,81.34,3069,12.2973,0.5026,33,33,1089,410,9.28,16.29,16.41
4,4601,308855,67.14,3973,14.897,0.4938,33,33,1089,470,9.79,16.62,16.96
7,3222,302501,93.92,5860,10.6512,0.5025,33,33,1089,403,8.0,16.27,17.03
5,3538,305124,86.27,3294,11.5953,0.502,33,33,1089,430,8.23,16.12,17.16
3,5699,304876,53.51,3616,18.6928,0.4934,33,33,1089,518,11.0,16.16,17.27
4,3556,306884,86.32,5097,11.5874,0.5003,33,33,1089,392,9.07,16.08,17.25
3,4088,305690,74.8,2635,13.373,0.4961,33,33,1089,405,10.09,17.05,17.05
3,5859,297837,50.84,8260,19.6718,0.4914,33,33,1089,508,11.53,16.38,17.49
9,3744,308381,82.39,5521,12.1408,0.4987,33,33,1089,452,8.28,16.02,17.09
1,2825,309117,109.46,4940,9.1389,0.4977,33,33,1089,325,8.69,17.4,16.56
6,3927,306165,77.98,6078,12.8264,0.4981,33,33,1089,407,9.65,16.28,16.94
2,5485,302697,55.2,3311,18.1204,0.4981,33,33,1089,549,9.99,16.09,17.89
0,6424,310259,48.3,3504,20.7053,0.4924,33,33,1089,566,11.35,17.1,17.16
5,4289,303925,70.88,3766,14.112,0.4941,33,33,1089,421,10.19,16.99,17.48
8,4870,308856,63.43,3478,15.7679,0.4897,33,32,1056,499,9.76,16.33,17.05
9,3010,309319,102.8,5104,9.7311,0.5017,33,33,1089,364,8.27,16.71,16.85
0,4610,304355,66.03,2528,15.1468,0.4939,33,33,1089,455,10.13,16.4,17.0
6,4526,308189,68.11,4320,14.6858,0.496,33,33,1089,443,10.22,16.62,16.67
1,1308,308810,236.27,8485,4.2356,0.5367,33,33,1089,301,4.35,17.03,17.15
8,5653,305656,54.08,4643,18.4946,0.4904,33,33,1089,524,10.79,16.53,16.86
0,5144,305970,59.49,4139,16.8121,0.4907,33,33,1089,460,11.18,17.08,16.82
7,4299,310801,72.31,3078,13.832,0.501,33,33,1089,452,9.51,15.83,17.34
6,4415,306713,69.49,3539,14.3946,0.4935,33,33,1089,457,9.66,16.5,16.77
0,6175,305591,49.5,3094,20.2067,0.4907,33,33,1089,503,12.28,16.49,17.52
7,3762,302487,80.43,3347,12.4369,0.5,33,33,1089,416,9.04,16.83,17.11
6,4376,308303,70.47,2658,14.1938,0.4952,33,33,1089,452,9.68,16.61,16.71
5,2989,302118,101.11,4545,9.8935,0.5018,33,33,1089,377,7.93,17.01,17.26
1,2770,307037,110.88,7859,9.0217,0.5,33,33,1089,316,8.77,17.04,16.92
1,2260,308701,136.65,9600,7.321,0.508,32,33,1056,314,7.2,16.42,17.4
4,4231,308535,72.94,5481,13.7132,0.4973,33,33,1089,449,9.42,16.16,16.8
5,2705,304263,112.52,4331,8.8903,0.5102,33,32,1056,406,6.66,16.31,17.35
6,3764,306743,81.52,3169,12.2709,0.4968,33,32,1056,394,9.55,16.84,16.3
3,5279,304599,57.71,4335,17.331,0.4973,33,33,1089,495,10.66,16.46,17.51
8,5192,303724,58.51,4427,17.0945,0.4954,33,33,1089,455,11.41,17.05,16.96
5,4027,307125,76.29,5441,13.1119,0.5009,33,33,1089,488,8.25,16.64,17.48
6,5685,302997,53.31,4410,18.7626,0.4932,33,33,1089,497,11.44,17.12,17.49
5,3711,307403,82.86,3234,12.0721,0.4945,33,33,1089,429,8.65,16.84,16.91
0,4715,309316,65.62,4052,15.2433,0.4918,33,33,1089,499,9.45,16.54,16.31
5,4428,306329,69.2,4509,14.455,0.4962,33,33,1089,479,9.24,17.27,16.87
4,3931,303955,77.34,3896,12.9328,0.4933,33,33,1089,405,9.71,16.79,16.89
0,4648,305500,65.74,3086,15.2144,0.4907,32,33,1056,405,11.48,17.11,16.99
4,4105,313167,76.31,3545,13.108,0.4931,33,33,1089,415,9.89,16.47,16.34
7,3766,304610,80.91,3831,12.3633,0.4989,33,33,1089,397,9.49,15.94,17.24
0,5924,307230,51.87,2014,19.282,0.4904,33,33,1089,520,11.39,17.21,18.03
1,2737,312372,114.17,5214,8.762,0.5038,33,33,1089,336,8.15,16.72,17.0
0,5170,309952,59.96,6940,16.68,0.4897,33,32,1056,453,11.41,17.05,16.54
9,4653,299114,64.3,3895,15.5559,0.4917,33,33,1089,425,10.95,16.66,17.25
8,4897,308639,63.04,4294,15.8664,0.4964,33,33,1089,473,10.35,16.61,17.41
8,5858,307245,52.46,3499,19.0662,0.4915,33,33,1089,475,12.33,16.29,17.18
2,4393,304865,69.41,2743,14.4097,0.4947,33,32,1056,480,9.15,16.46,16.83
1,2192,303708,138.62,6991,7.2175,0.5087,33,33,1089,281,7.8,17.21,16.2
9,4340,305047,70.3,3197,14.2273,0.4975,33,33,1089,434,10.0,16.77,17.16
7,1840,302875,164.7,6057,6.0751,0.5103,33,33,1089,314,5.86,16.79,16.77
6,4600,309205,67.23,2994,14.8769,0.5028,33,33,1089,495,9.29,16.19,16.66
0,6379,306099,47.99,2191,20.8397,0.4893,33,33,1089,563,11.33,16.55,17.47
0,5655,301208,53.27,3080,18.7744,0.4898,33,33,1089,493,11.47,16.63,16.86
2,3313,305412,92.21,4974,10.8476,0.5011,33,33,1089,442,7.5,16.77,17.33
8,3328,308581,92.75,3386,10.7849,0.4997,33,33,1089,384,8.67,17.01,16.36
4,3353,305165,91.04,3782,10.9875,0.4987,33,33,1089,378,8.87,16.2,16.89
5,5264,309380,58.78,2498,17.0147,0.4905,33,32,1056,547,9.62,16.48,17.84
8,4927,305229,61.96,3603,16.142,0.4926,33,32,1056,475,10.37,16.83,17.18
2,4848,304577,62.84,3555,15.9172,0.4948,32,33,1056,497,9.75,17.2,17.0
5,5899,309050,52.4,3485,19.0875,0.4943,33,33,1089,547,10.78,16.56,17.89
3,5073,303543,59.85,4007,16.7126,0.495,33,33,1089,512,9.91,15.89,17.27
5,5792,306732,52.97,1907,18.8829,0.4926,33,33,1089,527,10.99,16.23,17.21
7,4128,307975,74.62,4677,13.4037,0.4985,33,33,1089,433,9.53,16.03,17.26
0,5215,306962,58.87,3158,16.9891,0.4899,32,32,1024,526,9.91,17.78,17.71
7,2964,307775,103.87,4990,9.6304,0.5081,33,33,1089,405,7.32,16.49,16.85
2,4909,299638,61.05,2277,16.3831,0.4944,33,33,1089,486,10.1,16.31,16.8
0,5694,303891,53.38,3040,18.737,0.494,33,33,1089,545,10.45,16.52,16.86
8,6529,307850,47.16,2115,21.2084,0.4909,33,32,1056,512,12.75,16.34,17.87
2,4317,305331,70.74,4077,14.1388,0.5013,33,33,1089,466,9.26,16.12,17.51
4,5120,306934,59.96,2352,16.6811,0.4896,33,33,1089,458,11.18,17.07,17.11
2,5549,308829,55.66,2795,17.9679,0.495,33,33,1089,521,10.65,16.26,17.55
8,5158,302264,58.61,3363,17.0646,0.4926,33,33,1089,430,12.0,16.62,16.75
4,3437,307681,89.55,3929,11.1707,0.4964,33,33,1089,384,8.95,16.16,17.17
1,2126,305121,143.59,6327,6.9677,0.5127,33,33,1089,299,7.11,16.89,16.64
3,4235,304217,71.85,3615,13.921,0.4937,32,32,1024,426,9.94,16.36,16.11
0,5723,306881,53.63,2919,18.6489,0.4959,33,33,1089,548,10.44,16.22,16.89
3,4727,307993,65.17,2961,15.3478,0.4957,33,33,1089,472,10.01,16.28,17.24
5,4326,303597,70.2,3091,14.2492,0.4961,33,33,1089,425,10.18,16.84,16.64
8,6627,307284,46.38,3120,21.5664,0.4895,33,32,1056,529,12.53,16.9,17.78
0,6327,305313,48.26,3437,20.723,0.4901,33,33,1089,543,11.65,17.32,17.34
3,5522,309248,56.01,2426,17.8562,0.4973,33,33,1089,546,10.11,17.0,17.29
9,4251,310176,72.98,5190,13.7051,0.4949,32,33,1056,396,10.73,16.63,17.28
0,5652,305060,53.98,3893,18.5275,0.4901,33,33,1089,516,10.95,17.09,17.23
7,4412,306591,69.51,7121,14.3905,0.4961,33,33,1089,461,9.57,16.39,17.74
0,5404,309144,57.22,2507,17.4805,0.4952,33,33,1089,487,11.1,17.25,17.63
8,5423,301981,55.7,2591,17.9581,0.4927,33,33,1089,452,12.0,16.35,17.19
0,4490,308649,68.76,5708,14.5473,0.4913,33,33,1089,501,8.96,17.13,17.19
3,4435,305279,68.85,3125,14.5277,0.4933,33,33,1089,420,10.56,16.82,17.29
7,3307,302608,91.53,3805,10.9283,0.5011,33,33,1089,403,8.21,16.48,16.94
7,4906,304906,62.16,2592,16.0902,0.4953,33,33,1089,503,9.75,16.05,16.71
9,3533,307267,87.0,4791,11.4981,0.5089,33,33,1089,441,8.01,16.96,17.16
5,4034,305516,75.75,4983,13.2039,0.4916,33,33,1089,406,9.94,16.78,17.26
8,4605,306576,66.59,3304,15.0207,0.4929,33,32,1056,464,9.92,17.23,16.14
6,5806,303608,52.3,3759,19.1233,0.4919,33,33,1089,506,11.47,17.24,17.03
6,4800,304980,63.55,3056,15.7387,0.4946,32,32,1024,474,10.13,16.2,16.79
7,3349,312444,93.32,3812,10.7187,0.5004,33,33,1089,393,8.52,16.48,16.39
2,5150,305055,59.25,4293,16.8822,0.4932,33,33,1089,518,9.94,16.88,17.22
7,3635,302878,83.35,3920,12.0015,0.5023,33,33,1089,426,8.53,16.52,17.59
6,3361,305264,90.85,7218,11.0101,0.4993,33,33,1089,386,8.71,16.35,17.6
8,4134,305249,73.86,4860,13.543,0.4983,32,32,1024,424,9.75,16.91,17.11
1,2257,309226,137.07,5673,7.2989,0.5051,33,33,1089,298,7.57,17.18,16.51
9,3914,304336,77.78,3840,12.8608,0.4951,32,33,1056,413,9.48,16.04,17.25
4,2949,309152,104.87,4839,9.539,0.4985,31,32,992,350,8.43,16.38,16.78
7,2741,300858,109.8,4878,9.1106,0.5119,33,33,1089,386,7.1,16.39,16.54
7,2790,306041,109.73,5291,9.1164,0.5043,33,33,1089,366,7.62,16.86,16.8
3,3565,309556,86.86,4648,11.5165,0.4948,33,33,1089,448,7.96,16.17,16.76
5,3530,306821,86.94,5971,11.5051,0.4986,33,32,1056,451,7.83,16.44,16.81
0,5454,304510,55.84,4221,17.9107,0.4941,33,33,1089,502,10.86,16.21,17.28
0,4311,308771,71.64,3342,13.9618,0.4945,32,33,1056,449,9.6,17.01,17.27
5,2844,308236,108.42,6817,9.2267,0.5007,33,33,1089,437,6.51,16.31,16.98
6,3958,303959,76.82,3550,13.0215,0.5008,33,33,1089,436,9.08,16.11,16.51
4,4308,310520,72.1,6373,13.8735,0.4968,33,33,1089,438,9.84,16.06,16.64
5,5121,309535,60.46,4190,16.5442,0.4923,33,33,1089,477,10.74,16.05,17.05
1,1966,303440,154.42,5749,6.479,0.5107,33,33,1089,281,7.0,16.4,16.68
2,5007,307449,61.42,3877,16.2856,0.4961,33,33,1089,504,9.93,16.85,16.37
6,4728,311183,65.83,2244,15.1936,0.4898,33,33,1089,513,9.22,17.06,17.5
8,4027,300922,74.74,3952,13.3822,0.5011,32,33,1056,461,8.74,16.97,16.99
7,4068,306045,75.25,4295,13.2922,0.5002,33,33,1089,446,9.12,16.45,17.29
3,4217,305463,72.45,2728,13.8053,0.4925,33,33,1089,443,9.52,16.52,17.19
0,4900,309522,63.18,3220,15.8309,0.4892,32,32,1024,517,9.48,16.41,16.68
4,3763,309961,82.39,7809,12.1402,0.4959,33,33,1089,415,9.07,16.66,17.06
1,2497,304957,122.18,6322,8.188,0.5062,33,33,1089,330,7.57,17.3,16.7
1,1754,303387,173.07,3886,5.7814,0.5211,33,33,1089,298,5.89,16.39,17.51
6,3617,310272,85.81,2780,11.6575,0.5004,33,33,1089,496,7.29,16.55,16.61
2,6140,304092,49.53,3993,20.1913,0.4897,33,33,1089,578,10.62,16.7,16.82
2,5546,309149,55.75,3294,17.9396,0.4953,33,33,1089,569,9.75,17.15,17.32
4,3690,306308,83.03,8196,12.0467,0.5008,33,33,1089,449,8.22,16.17,17.22
7,3254,303248,93.22,5433,10.7305,0.5055,33,33,1089,403,8.07,16.31,16.73
0,4936,308372,62.49,4839,16.0066,0.4889,33,32,1056,449,10.99,17.48,16.31
9,4777,310726,65.06,2397,15.3737,0.4953,33,33,1089,472,10.12,16.68,16.69
6,5694,311337,54.69,4183,18.2889,0.4917,33,33,1089,536,10.62,15.97,16.56
4,4703,305467,64.97,1944,15.3961,0.4931,32,33,1056,472,9.96,16.54,17.16
7,2980,303700,101.95,5964,9.8123,0.5017,33,33,1089,357,8.35,16.5,17.74
3,4185,304335,72.74,2739,13.7513,0.5008,33,33,1089,449,9.32,17.15,17.66
9,3946,308062,78.09,3552,12.8091,0.5025,33,33,1089,412,9.58,16.81,17.06
4,4699,302829,64.46,2872,15.517,0.4912,33,33,1089,442,10.63,16.46,17.2
3,4352,311014,71.48,3788,13.9929,0.4959,33,33,1089,462,9.42,16.39,16.85
4,3804,303637,79.84,4181,12.5281,0.4968,33,33,1089,430,8.85,16.34,17.68
7,4174,308065,73.82,2708,13.5491,0.4966,33,33,1089,416,10.03,16.57,17.11
9,4768,305836,64.16,2740,15.5901,0.4868,32,33,1056,426,11.19,16.92,17.12
2,3697,309357,83.7,3769,11.9506,0.5026,33,32,1056,496,7.45,16.14,17.16
1,1919,296295,154.48,7834,6.4767,0.5143,33,32,1056,293,6.55,17.1,16.49
5,4098,309608,75.57,2769,13.2361,0.4998,33,33,1089,454,9.03,16.17,17.2
8,5175,304820,58.91,3221,16.9772,0.4906,33,33,1089,442,11.71,16.76,16.32
4,4491,299479,66.7,2695,14.996,0.4952,33,33,1089,467,9.62,16.53,17.1
3,5196,306000,58.9,3550,16.9804,0.496,33,33,1089,518,10.03,16.46,17.56
1,2856,303413,106.27,6837,9.4129,0.5077,33,33,1089,333,8.58,16.54,16.71
3,5063,302607,59.78,2714,16.7313,0.494,33,33,1089,473,10.7,16.1,17.1
9,2977,309401,103.97,3351,9.6218,0.4988,32,33,1056,342,8.7,16.28,16.83
9,3160,303942,96.21,4676,10.3967,0.4984,33,33,1089,355,8.9,16.17,16.38
8,3847,304625,79.21,4218,12.6286,0.5012,33,33,1089,408,9.43,16.7,16.52
0,5613,301429,53.71,3728,18.6213,0.4946,33,33,1089,535,10.49,16.85,17.27
5,3646,307624,84.4,4756,11.8521,0.5058,33,33,1089,402,9.07,16.77,17.74
7,4330,308873,71.35,6410,14.0187,0.4975,33,33,1089,454,9.54,16.01,17.24
1,2575,304195,118.18,3810,8.465,0.5072,33,33,1089,327,7.87,16.43,16.7
7,5140,305794,59.5,1948,16.8087,0.4959,33,33,1089,495,10.38,16.67,16.99
5,3562,298481,83.82,2109,11.9338,0.4975,33,33,1089,405,8.8,16.54,17.43
7,3114,303762,97.58,3750,10.2514,0.5039,33,33,1089,376,8.28,16.32,16.1
0,5703,310100,54.38,3392,18.3908,0.4908,33,33,1089,510,11.18,16.93,17.06
8,5094,309414,60.75,2445,16.4634,0.4963,33,33,1089,482,10.57,16.95,16.58
9,4203,306946,73.05,3814,13.693,0.4958,33,33,1089,434,9.68,16.76,16.9
9,2670,303763,113.81,4946,8.7897,0.5045,33,33,1089,331,8.07,16.18,17.22
6,3502,307754,87.9,3613,11.3792,0.4989,33,33,1089,404,8.67,17.09,16.99
3,3460,308518,89.19,2466,11.2149,0.5049,33,33,1089,397,8.72,16.9,17.42
2,4107,303104,73.82,3529,13.5498,0.4928,32,33,1056,397,10.35,16.66,17.4
2,2517,307781,122.33,3816,8.1779,0.5121,32,33,1056,381,6.61,16.61,17.36
4,4687,308187,65.77,3674,15.2083,0.4924,33,33,1089,446,10.51,16.37,17.32
5,4668,304311,65.2,5311,15.3396,0.4966,33,32,1056,469,9.95,16.79,17.21
7,3078,303761,98.72,4587,10.133,0.5029,33,33,1089,373,8.25,16.8,16.78
8,4829,304676,63.11,2589,15.8496,0.4987,33,33,1089,453,10.66,16.55,17.34
2,2551,310576,121.79,4993,8.2138,0.4943,33,33,1089,410,6.22,15.85,16.31
7,3405,304754,89.53,4223,11.1729,0.5028,33,33,1089,393,8.66,16.58,17.68
6,3804,308307,81.07,8327,12.3384,0.4953,33,33,1089,387,9.83,16.13,17.48
7,2809,299867,106.79,7649,9.3675,0.5005,33,33,1089,357,7.87,16.28,17.25
6,4200,304385,72.49,2475,13.7983,0.4988,33,33,1089,444,9.46,16.57,17.38
1,1803,307949,170.89,7571,5.8549,0.5191,33,33,1089,296,6.09,16.81,17.22
7,3872,307418,79.42,5818,12.5952,0.5005,33,33,1089,433,8.94,16.97,17.25
